title,link,keywords,views,thumbnails,channel_name,channel_id,publish_date,description
자려는 강아지 속삭여서 깨우기,/watch?v=btzxsRi0YKQ,,2442,https://i.ytimg.com/vi/btzxsRi0YKQ/hqdefault.jpg,헤이미도담 ᴴᵉʸᵐᵉᴰᵒᵈᵃᵐ,UCDifqBJyhjqUEFDavFYb4tg,2021-08-08,"도담아
냠냠
뽀뽀
다시자

도담이잘자❤️"
"진돗개를 괴롭히면, 화를 얼마나 낼까? | 강아지괴롭히기",/watch?v=mar0Kuw-81Y,만복이누나|서울개만복|만복이|진돗개|잘생긴진돗개|진돗개충성심|진돗개사냥성,2321,https://i.ytimg.com/vi/mar0Kuw-81Y/sddefault.jpg,서울개만복-[Manbok is Jindodog],UC3e5gXrcn53TYFr2Piu7CKQ,2021-08-08,"인스타그램 https://www.instagram.com/song4u

안녕하세요! 만복이누나입니다. 
'서울개만복  (Manbok is Jindodog)'에서는 대대손손 진돗개만 30년(모두 무지개다리 건널때까지 키웠어요) 넘게 키워온 휴만들이 경험을 토대로 풀어내는 진돗개 이야기입니다.

*이름:만복

*생년월일:2016 08 04

*성별:남자

*직업:백수였으나, 쇼독으로 활동 예정임(의외로 재능발견으로 직업생김)

*특기:점프 / 달리기 /박치기

*취미:마우스미팅 /잠자기(엄청나게 잠)/동네경비

🎵Music provided by 브금대통령
🎵Track : 백수의 하루 - https://youtu.be/H62OF6OVeHQ
🎵Music provided by 브금대통령
🎵Track : 에어컨 아래에서 - https://youtu.be/f8nd8Fq90lU"
엄마 아빠에게  큰 선물한 멋쟁이 강아지들 🎁,/watch?v=T0pcvEXCkRw,강아지|귀여운강아지|웃긴강아지|말티즈|비숑프리제|순심|덕선|sunsim|순덕이네|강아지유튜브|Maltese|マルチーズ|bichon frise|ビション・フリーゼ|dog|ドッグ|puppy|パピー|pet|이쁜강아지|순덕순덕|삐삐머리강아지|양갈래강아지|머리묶은게나아|prettypuppy|인스타순심|cutedog|Funnydog|dogasmr|dogvideo|まろやかな犬|笑える犬|강아지영상|귀여운강아지영상|귀여운말티즈|귀여운비숑|웃긴비숑|cutemaltese|cutebichon|cutedogvideo|funnydogvideo|creampoodlepuppy|poodlepuppy|toypoodle|poodle|cutepoodle|クリームプードルの子犬|プードルの子犬|トイプードル|プードル|삼순|samsun|ParkSeojunSofa|ParkSeojun|Park Seojun|에싸|에싸소파|소파추천|신혼소파|소파|강아지소파|박서준소파|박서준|태리소파|반려동물소파|강아지소파추천|패브릭소파,1720,https://i.ytimg.com/vi/T0pcvEXCkRw/sddefault.jpg,순덕순덕[sun_sim_],UCw9fvVKDolmLYXdR68Z_BMQ,2021-08-09,"#에싸소파 #박서준소파 #강아지소파

매일 행복하세요~🎈
말티즈 순심, 비숑 덕선, 푸들 삼순의 행복한 유튜브 체널입니다.
성격이 각자 너무 다른 세 친구들의 매력에 빠져보세요~
시청해주셔서 감사합니다.


★순심 -암컷, 말티즈,  8살, 🎉2013년 3월5일
★덕선 -암컷, 비숑프리제, 2살, 🎉 2019년 6월21일
★삼순 -암컷, 크림푸들, 🎉2021년 4월10일


순덕이네 인스타그램 놀러오세요~
■Instagram ID ☞ sun_sim_
(www.https://www.instagram.com/sun_sim_/)




🎵Music provided by 브금대통령
🎵Track : 아기 고양이 - https://youtu.be/1rL7sardFIU
Song : Sunha Lee - Funny Cat
Music promoted by Vlog Copyright Free Music 
Link : https://youtu.be/da4K7I-hrdc"
더운 여름 야간산책 하다 강아지 혓바닥 빠지겠어요^^#shorts 짧은 영상,/watch?v=-g2LFjlJKV0,#강아지산책#강아지야간산책#강아지#산책#야간산책#밤산책|#비숑#8비숑,1478,https://i.ytimg.com/vi/-g2LFjlJKV0/hqdefault.jpg,8비숑아범TV,UCJi7h0CSGZKIBP2pR_r5yUQ,2021-08-08,"브금대통령

🎵Music provided by 브금대통령
🎵Track : 우리 똥강아지 - https://youtu.be/bn-EJr_Bo4Y"
이 강아지들이 아침마다 '꼭'해야하는 특별한 행동,/watch?v=F-UPCPteykE,강아지|puppy|꼬똥|푸들|실버푸들|Coton de Tulear|Silver Poodle|꼬똥 드 툴레아|강아지 영상|귀여운 강아지|웃긴 강아지|재밌는 강아지|강아지 유튜브|밍순이|개순이|신기한 강아지,1341,https://i.ytimg.com/vi/F-UPCPteykE/sddefault.jpg,개밍순 DogMingsoon,UCM3pMyyslUgGIGXK6M6Dm-w,2021-08-09,"#강아지 #장난 #밍순이슬리퍼

우리 집사들이 조금 더 힘들더라도 귀욤둥이들 평생 철 안들었으면 좋겠다.

▼ 개밍순 멤버십 혜택 가입하기 :)
https://www.youtube.com/channel/UCM3pMyyslUgGIGXK6M6Dm-w/join

▼ 개밍순 일상 사진&동영상 보러가기(인스타그램)
https://www.instagram.com/dog.mingsoon

- 프로필 (profile)

♥첫째 (하얀애)
이름 : 밍순 / MingSoon
성별 : 여 / Female 
생일 : 2019.02.27
견종 : 꼬똥 드 툴레아 / Coton de Tulear

♥둘째 (까만애)
이름 : 개순 / GaeSoon
성별 : 여 / Female 
생일 : 2019.07.10
견종 : 실버 푸들 / Silver Poodle

* 강아지 관련 /입양 문의는 받지 않고 있습니다
* 반려견 입양은 신중하게 결정해야 합니다
* 비지니스 문의(e-mail) : hyuna0124@naver.com"
만족스러운 하루를 보낸 강아지들,/watch?v=XyCmSqUtUmE,maltese|puppy|dog|cute|말티즈|강아지|애완견|귀여운강아지|반려동물|반려견|믹스견,1066,https://i.ytimg.com/vi/XyCmSqUtUmE/sddefault.jpg,순돌이와친구들,UCURMKkMneWCkpO__BtAinsw,2021-08-08,이렇게 행복한 표정은 자주 보이지 않는것 같아요
허스키 Husky Puppy for sale.,/watch?v=qfpvJ7RMLBw,시베리안허스키|간식|애완견|산책|날씨|대형견|겨울,2240,https://i.ytimg.com/vi/qfpvJ7RMLBw/sddefault.jpg,반려동물을 사랑하는 오빠,UC7XjeXO-IXMUmiI0xyKS5ow,2021-08-08,"#강아지분양 #고양이분양 전문
#허스키
.
📲 010.3025.9858
Kakao hmj9858
.
새로운 인연, 나의 소중한 가족의 만남은
#몽몽이하우스 와 함께 하세요 😊"
쟤가 궁디팡팡 해봤습니다,/watch?v=sirPjZ74cyU,아리|고양이|고양이 목욕|아리랑|리랑|남기형|아리집사|아리주인|비명|피비린내|김메주|크림히어로즈|수리노을|반려동물|동물|cat|cats|pet|animal|funny,88708,https://i.ytimg.com/vi/sirPjZ74cyU/sddefault.jpg,Arirang은 고양이들내가 주인,UCETBLykCDpfP6L0awBd7Vwg,2021-08-08,"우리 애들은 정말이지 제 멋대로다.
우리처럼.

-----------------------------------------------------------------------------------------------------

아리랑 인스타 : https://www.instagram.com/ariismasterimhousebuy/
아리랑 메일 : aricat2488@gmail.com

#고양이#아리랑#cat"
2편 | 수영하는 고양이 홍이 죽나요?,/watch?v=zh5OBaCHbWY,고양이 수영|동물농장 고양이|새끼 고양이|냥보호녀|양보녀|고양이산책|홍이|하나|또봉이|도둑고양이|길냥이|길냥이구조|고등어|아기고양이|고양이산책집사|집사|애니멀봐홍이|애니멀봐|크림이|쿠키|꼬물이|레오|홍이집사|동물|강아지|틱톡|틱톡고양이산책|틱톡커|틱톡양보녀|고양이입양|냥줍|임시보호소녀|고양이임시보호|방광염|고양이방광염|수영하는고양이|FIC|특발성방광염|떡상|홍이죽음|고양이죽나요,49154,https://i.ytimg.com/vi/zh5OBaCHbWY/sddefault.jpg,냥보호녀,UC4ZWwab_hO-IR1XM-JuoH_g,2021-08-08,#홍이죽음 #수영하는고양이 #고양이방광염
부농방 고양이들 제한 급식을 시작했어요!,/watch?v=NRxtBt_mFX8,반려동물|반려묘|고양이|cat|animal|동물|다묘가정|코숏|코리안숏헤어|일상|기록,45833,https://i.ytimg.com/vi/NRxtBt_mFX8/sddefault.jpg,22똥괭이네,UCYaBl0gtXV_3sHW4bQjq0hA,2021-08-08,"instagram @_mieumi

#부농방 #아요러쁘기 #고양이제한급식

.
음원제공 : 비지엠팩토리 www.bgmfactory.com
사용음원 : 여행 준비, 햄스터 미로, 막대사탕을 물고, 맛있는 핫도그"
"CUTE ANIMALS Frog, Puppy, Cat, Rooster, Zebra, Bison 개구리, 강아지, 고양이, 수탉, 얼룩말, 들소",/watch?v=RK30nVdq2zY,cute animals|CUTE ANIMALS|Frog|Puppy|Cat|Rooster|Zebra|Bison|개구리|강아지|고양이|수탉|얼룩말|들소|guess|animation|what the animal|cute cats|funny animals|memes|funny|puzzle,42005,https://i.ytimg.com/vi/RK30nVdq2zY/sddefault.jpg,GSDM STUDIO,UCdGBfALGW60vvICCu8Ij0mw,2021-08-08,"CUTE ANIMALS Frog, Puppy, Cat, Rooster, Zebra, Bison 개구리, 강아지, 고양이, 수탉, 얼룩말, 들소 

https://youtu.be/RK30nVdq2zY

If you like our video, please don't forget to like, share and SUBSCRIBE❤️
😍 THANK YOU SO MUCH FOR WATCHING 😍

#pets #animals #guess #funny #animation #cartoon"
드디어 서울에서 치료를 받는 후지마비 고양이 흥민이/흥민이의 치료일기/흥민일기 (Country Story of City Couple EP.518),/watch?v=MgpSyFl9BEs,귀촌|귀촌일기|서울 부부의 귀촌일기|vlog|냥줍|고양이|새끼고양이|미묘|새끼 고양이|고양이구조|고양이 구조|새끼 냥이|새끼냥이|야옹이|흥민이|다리다친 고양이|유기묘|시골고양이|야옹이 구조|야옹이구조|냥이구조|고양이 울음소리|고양이 소리|고양이 애교|고양이 먹방|고양이 추천|고양이 친해지기|고양이 입양|고양이 아기|고양이 동영상|고양이 레전드|고양이 브이로그|고양이 간택|고양이 새끼|고양이 표정|고양이 v log|고양이 티비|고양이 키우기|고양이 7주|고양이 8주|후지마비|하지마비 고양이|후지마비 고양이|후지마비 재활훈련|후지마비 치료|흥민이 병원|고양이 침 치료|침치료|고양이침치료|후지마비 침치료|후지마비 침 치료|애완동물 침|침 치료|애완견 침치료|고양이 침치료|아기 냥이 침치료|장애냥이|장애고양이|장애 고양이|장애 냥이,28692,https://i.ytimg.com/vi/MgpSyFl9BEs/sddefault.jpg,서울 부부의 귀촌일기,UCd1TDyN0YhmdMTbvhSANthw,2021-08-09,"#후지마비고양이 #후지마비치료 #고양이침치료
#흥민이 #흥민이치료 #흥민이

서울 부부의 대책없는 귀촌일기~!!
이것이 바로 진짜 리얼 귀촌 스토리!!

시청하시고 마음에 드신다면
'구독하기' 와→(https://goo.gl/vHezU7)
'좋아요!'를 꼬옥 눌러주세요~!!

여러분의 클릭 한번이
서울 부부의 귀촌일기를 지속할 수 있는 힘이 됩니다~~!!

감사합니다~!! (^_^)/

리주(LeeZu)로 표기되어 삽입된 
귀촌일기의 모든 음악은
남편 겸 작곡가 이준영 씨의 음악들 입니다~"
What a Cat Does When She Loves Her Owner!,/watch?v=hwpUGj79KRo,코니|coni|코니tv|conitv|conifam|xunitv|cat|kitten|munchikin|baby cat|baby kitten,17380,https://i.ytimg.com/vi/hwpUGj79KRo/hqdefault.jpg,코니tv conitv,UCBbT9lgavJ44vNs0Vb_hlqA,2021-08-08,"#kitten #cat #munchikin
- - - - - - - -
 I N S T A ➜ http://instagram.com/conifam
 F A C E B O O K ➜ https://www.facebook.com/conifam
 T W I T T E R ➜ .https://twitter.com/conifam
- - - - - - - -
Business Inquiries Only : ellucuf@gmail.com 
- - - - - - - -

🎵Music provided by 브금대통령
🎵Track : Kid's Room - https://youtu.be/e4w3WzWeFbg"
장화신은 고양이 왕방울 동공 지진!,/watch?v=am9Md_fxdZw,새끼 고양이|고양이|반려묘,17151,https://i.ytimg.com/vi/am9Md_fxdZw/sddefault.jpg,하루미루HaruMiru Cat,UCvv_j41pi8NO42SS-hqvvOA,2021-08-08,"#하루미루 #브리티시숏헤어 #고양이 #동공지진!

잠 자기 전 한 번이라도 더 안고, 뽀뽀하고 쓰담쓰담하고픈 집사의 손장난에
쫄보 하루 왕방울 동공에 지진이ㅎ


이불 정보
https://coupa.ng/b4bVy8

*위 링크로 구매 시 쿠팡 파트너스 활동의 일환으로, 
이에 따른 일정액의 수수료를 제공받습니다.


🎵Music provided by 브금대통령
Track : 그 빵은 내꺼야  - https://youtu.be/Jyh4ETOLIhQ
Track : 꼬물꼬물 - https://youtu.be/oXc3PhIeeoE"
고양이 간식을 빼앗아 보았다,/watch?v=A-MODRgQ7kE,뚜리뚜바|박뚜리|박뚜바|아기고양이|아깽이|새끼고양이|길고양이|길냥이|고알못|고양이육아|작업실|브이로그|일상기록|고양이간식|동결건조|진짜가나타났다,15497,https://i.ytimg.com/vi/A-MODRgQ7kE/hqdefault.jpg,뚜리뚜바 DDU Cat Family,UCwPWVOeQXZ8yihMzp08DEQg,2021-08-08,"● Sponsor.
- 본 영상은 ㈜ 웰피드의 '진짜가 나타났다' 동결건조 간식 제품의 유료광고를 포함하고 있습니다.
- 프로모션 페이지 : https://smartstore.naver.com/wellfeed/products/5612175784

● Info.
- 동결건조 북어트릿
- 동결건조 오리트릿
- 동결건조 닭가슴살트릿
- 동결건조 알빙어트릿

#고양이간식 #동결건조 #진짜가나타났다"
