video_info_title,video_info_link,video_info_keywords,video_info_views,video_info_thumbnails,video_info_author,video_info_channelId,video_info_publish_date,video_info_description,video_info_summary_data
남의 집에 와도 자기주장이 확실한 사모예드 강아지,/watch?v=0zPNLrsjvnk,,10620,https://i.ytimg.com/vi/0zPNLrsjvnk/sddefault.jpg,해피퍼니 Happy Funny,UCFfK4rHnI034zostNwzXHIw,2021-08-10,"오랜만에 사모예드 뚜루가 집에 놀러왔어요
만수무강이는 처음에 경계를 하더니 나중에서 잘 지냈고
뚜루는 올때마다 자기집 마냥 주장이 확실하네요",만수무강이는 확실하네요
온몸이 마비된 채 버려진 강아지를 안아주자 일어난 기적,/watch?v=mBGX23O5Lqw,,6143,https://i.ytimg.com/vi/mBGX23O5Lqw/sddefault.jpg,애니멀플래닛,UChMPMKNmNhiicy8LzhlSadw,2021-08-09,"온몸이 마비된 채 움직이지 못하는 강아지
죽음만 기다리고 있던 녀석에게 
한 여성과의 만남은 엄청난 기적을 만들어내는데요 

세상 모든 동물들이 행복해지는 그날까지... 

★여러분의 소중한 구독과 좋아요는 동물을 사랑하는 마음입니다! 
★애니멀플래닛[ANIMAL PLANET] 채널 구독하기 : https://url.kr/gw1uti

★여러분의 소중한 제보가 세상을 더 아름답게 변화시킬 수 있습니다.
master@animalplanet.co.kr",행복해지는 만들어내는데요
싱크대 아래서 세수를 한번 시켰더니 l 배려심 넘치는 강아지,/watch?v=30mlboDXDwA,천재견호야|천재견|호야|래브라도리트리버|리트리버|반려견|강아지|labradorretriver|강아지개인기|강아지교육|pets|천재견하루|코스트코야외주차장|코스트코주차텐트|강아지세수,8654,https://i.ytimg.com/vi/30mlboDXDwA/sddefault.jpg,천재 호야와 신나는하루,UCjoLvZOLgwPqUEQPuqky2Fw,2021-08-10,"호야와 하루 이야기
아침에 매일 하는 세수

hoya instagram
genius_dog_hoya 
https://www.instagram.com/genius_hoya_/
email : ilovehoyaharu@gmail.com

상업적 용도가 아닌 영상의 배포는 
언제나 자유롭게 가능 합니다.
(채널 링크 감사합니다^^)
.
.
.
🎵Music provided by 브금대통령
🎵Track : Butterfly's Wing  - https://youtu.be/uX0fHYUF8Sw
🎵Track : 아기골룡 - https://youtu.be/ENsSfTmm7P4",래브라도리트리버 코스트코주차텐트
"입양 1주년, 보호소에 다녀왔어요ㅣ강아지 생일파티🎂",/watch?v=shHhISsprHQ,유기견입양|유기견변화|유기견|강아지브이로그|유기견브이로그|포인핸드입양|유기견입양후기|강아지유튜브|유기견유튜브|유기견출신|말티믹스|공무원퇴사후|견생역전|헤이미도담|유기견에서반려견으로|입양1주년|사지마세요입양하세요|유기견보호소|강아지생일파티|강아지생일|강아지생일상|강아지케이크|강아지생일케이크,5764,https://i.ytimg.com/vi/shHhISsprHQ/sddefault.jpg,헤이미도담 ᴴᵉʸᵐᵉᴰᵒᵈᵃᵐ,UCDifqBJyhjqUEFDavFYb4tg,2021-08-09,"벌써 도담이를 만난지 1년이 되었어요 :)
1주년 파티도 하고 도담이를 만난 보호소에도 다녀온 이야기!

🎂🎉🥳🎊🥂
사지마세요 입양하세요!


많이 큰 박도담 인스타
http://instagram.com/dodam.zzi_i 

#헤이미도담 #버리지마세요 #유기견에서반려견으로",유기견브이로그 유기견에서반려견으로
처음 가본 자동세차장이 너무 신기한 강아지 ㅎㅎ,/watch?v=29CzGGYYXhk,,7040,https://i.ytimg.com/vi/29CzGGYYXhk/sddefault.jpg,방울이야기 [Bell's Story],UCN3GG585hHRoiLCvQojQCMw,2021-08-10,"자동세차장에 처음으로 데리고 갔더니 너무나 신기해하는 귀여운 방울이 ^^* 처음에 낯설어해서 걱정했었는데 생각보다 씩씩해서 기특했어요^^ 
세상의 많은 것들, 함께하며 많이 보여줄게. 오래오래 곁에 있어줘 
방울아 사랑해 ♥

♥방울이(Bell)
2020년 6월 23일
말티푸 남아

♥ 방울이 인스타그램 
 https://www.instagram.com/maltipoo_bell/


-------------🎵Music provided by -----------------------------------------------------
🎵Track : 갑자기 멍때리기 - https://youtu.be/TdQYTw-jhw8
🎵Track : Ready To Nap - https://youtu.be/UZE2a9gTsDk
🎵Track : 내 꿈은 말이지 - https://youtu.be/8US4NF1bzlE
🎵Track : 강아지같아 - https://youtu.be/tPxR7npln9w
🎵 Kevin MacLeod의 Investigations에는 크리에이티브 커먼즈 저작자 표시 4.0 라이선스가 적용됩니다. https://creativecommons.org/licenses/...
출처: http://incompetech.com/music/royalty-...
아티스트: http://incompetech.com/
------------------------------------------------------------------------------------------------------------",자동세차장에 자동세차장이
늦은 나이에 '빵야'를 배우는 강아지ㅋㅋㅋ,/watch?v=4zBTFlgG3UY,똥개로움|깜봉이|봉순이|봉두|고라니|토끼|반려견|똥강아지|똥개|시골강아지|강아지반응|웃긴영상|재미있는 강아지|웃긴강아지|귀여운강아지|강아지표정|웃긴강아지표정|댕댕이|귀여움|애교|강아지애교|귀여움끝판왕|나만만져|삼봉이|깜봉순두|강아지와일상|소가핥아서무서운강아지|애교많은강아지|새끼강아지|유기견|강아지폭풍성장|토실토실한강아지|아기댕댕이|뚜렁이|강아지쌍커풀|응아마려운강아지|배고픈아기강아지|강아지낑낑|삐진강아지|봉두첫만남|겁먹은아기강아지|심장폭행|심쿵|강아지심쿵|강아지남매|피곤한댕댕이|하룻강아지|말하는강아지|귀여운 강아지|힐링영상|강아지와 시골살이|잠자는 강아지|강아지고집|고집쎈강아지|검정강아지|노랑강아지|하얀강아지|흰둥이|누렁이|검둥이|귀요미|예쁜강아지|착한강아지|천사견|믹스견|시고르자브종|전원주택|전원주택 반려견|반려견 주택|korean dog|korean puppy|korean mix dog|korean country dog|강아지 논두렁,4432,https://i.ytimg.com/vi/4zBTFlgG3UY/sddefault.jpg,똥개로움,UCIyCS4h1Qng1mjgLpWgtPOg,2021-08-09,"#깜봉이 #귀여움 #행복

시간나면 늘 껴안고 있기만 했는데,
나중에 깜봉이가 크고나면 공부안시켰다고 뭐라고 할까봐,
지금이라도 하나하나 알려주고 그러려고해요 ㅎㅎ
확실히 깜봉이는 진짜진짜 영리합니다. 진짜 빨리 배웠어요

[인스타그램]
★3봉패밀리 : https://www.instagram.com/3bongfamily
[문의] : lets-walk@naver.com
[똥개로움 아이템 Shop]
https://smartstore.naver.com/letswalk
(네이버에 '걸어가게' 검색! -- 네이버 스마트 스토어)",토실토실한강아지 배고픈아기강아지
이정도면 강아지가 고양이로 태어난 것 같아요,/watch?v=8sB1EO-9m5k,아기고양이|아기고양이입양|아기고양이입양첫날|새끼고양이|새끼고양이입양|새끼고양이입양첫날|강아지고양이|강아지가아기고양이|강아지가새끼고양이|환생|환생한것같아요|고양이|야옹이|유기묘,3360,https://i.ytimg.com/vi/8sB1EO-9m5k/sddefault.jpg,모카라떼베리다즐링,UCmyFB-ySHaEG2W31RYLwROA,2021-08-10,"이정도면 강아지가 고양이로 태어난 것 같아요

-출처-
Music provided by 브금대통령
Track : 사뿐사뿐 나들이 - https://youtu.be/bFANkXSQwJg
Track : 강아지같아 - https://youtu.be/tPxR7npln9w
Track : Spring Bossa - https://youtu.be/1gmzasoTIL4",이정도면 브금대통령
화가 할머니가 밖에 있는 강아지를 보면서 하는 생각｜KBS 인간극장 190702 방송,/watch?v=trtOxDGu-qw,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기,3150,https://i.ytimg.com/vi/trtOxDGu-qw/hqdefault.jpg,KBS동물티비 : 애니멀포유 animal4u,UCAhKKbDO9-ymWZ_7iAFLBQQ,2021-08-10,"※ 회차 정보 : 인간극장 - 어머니의 그림 1~2부 (2019.07.02)
#인간극장 #인간극장레전드 #강아지 #할머니 #시골 #애니멀포유",인간극장레전드 무한리필샐러드
고양이만 이뻐했더니 질투 폭발한 강아지 ㅋㅋㅋㅋ,/watch?v=DOiSGhVnt5Q,강아지|강아지 질투|강아지 질투 행동|강아지 고양이 질투|강아지 인형 질투|강아지 브이로그|보더콜리|언제나 가을|귀여운 강아지,2970,https://i.ytimg.com/vi/DOiSGhVnt5Q/sddefault.jpg,언제나가을 ALWAYSFALL,UCjefgkRNbdzmQn1YDlk6s6w,2021-08-10,"늦은 밤에 올리는 일상 가을이 영상..
이번에도 굉장히 소소한 이야기들을 담아왔습니다 :D
오늘도 언제나 시청해주셔서 정말 감사합니다 (꾸벅)
------------------------------------------------------------
언제나가을 인서타그램
https://instagram.com/alwaysfall_gaul
🐶
이름 : 가을
견종 : 보더콜리
생일 : 2019.1.27
성별 : 겅듀님
성격 : 체력왕 두뇌왕+은근 겁많은 댕댕이
새로운 사람 보면 그 사람이 주인이 됨🤭
😺
이름 : 애기
견종 : 코숏
생일 : 2016.7.1
성별 : 왕자님
성격 : 어디 방에선가 혼자 있음. 건들면 귀찮아해요 😂
가을이 뒤에 어느새 동상같이 서있다
.
.
.
bgm
Music provided by 브금대통령
Track : 뽀송뽀송 - https://youtu.be/wrfU3CB12K0
Track : ㄴr는 ㄱr끔 눈물을 흘린ㄷr..☆ - https://youtu.be/Tq0vxHhcdpo
Track : Rabbit Hole  - https://youtu.be/Xb66dp1QxVY
Track : Brunch - https://youtu.be/bO5FQBl77VU",감사합니다 언제나가을
"자장자장, 따뜻하고 포근한 강아지 수면음악 ☁ Dog Music Sleep",/watch?v=ViwAaGL2I04,dog music sleep|sleep music dog|puppy music|puppy music sleep|dog|dogs|puppy|puppies|music for dogs|pet sleep|make my dog sleep|relaxing music for dogs|calm my dog|relax my dog|dog music to go to sleep|강아지 음악|강아지 수면음악|강아지가 좋아하는 음악|강아지 수면 유도 음악|강아지가 좋아하는 노래,2259,https://i.ytimg.com/vi/ViwAaGL2I04/sddefault.jpg,댕댕이의하루,UCjRwsQedcykuXcQrOJJVrsg,2021-08-09,"따뜻하고 포근한 연주로
듣고 있다보면 잠이 솔솔~ 오게 되는
강아지 수면 음악입니다 🌙

강아지 잠자는 노래
강아지 수면음악
강아지 수면 유도 음악
강아지 음악
강아지가 좋아하는 노래
애견음악
반려견 음악
강아지가 좋아하는 음악
강아지 자장가

#강아지가좋아하는음악
#강아지수면음악
#강아지수면유도음악
#강아지가좋아하는노래
#강아지자장가",강아지수면음악 강아지수면유도음악
강아지 학대 의혹 해명하겠습니다.,/watch?v=HxUM95p5c4s,댕댕이|진돗개 성격|shiba inu|jindo dog|강아지,4668,https://i.ytimg.com/vi/HxUM95p5c4s/sddefault.jpg,터보롤리알밤이 Turbo&Rolly&Albam,UCyAgeZXaNtPET3Awgvr9PyA,2021-08-10,"#진돗개 #시바견 #반려견

터보 롤리 알밤이 사랑받고 사는거 다들 아시죠~?

터보와 롤리 구독과 좋아요 알람설정까지 해주세요~
----------------------------------------------------------------------
  이름 : 터보 (Turbo), 큰 애, 재구
  성별 : 남
  생일 : 2013. 01 추정
  별명 : 터보스, 터선비, 터대감, 터PD(Perfect Dog),터봉구, 티로, 티봉구 등등

  이름 : 롤리 (Rolly), 롱다리, 누렁이
  성별 : 여
  생일 : 2017. 08 추정
  별명 : 롤인턴, 롤롤, 롤관순, 롤순, 지롤리, 지랄리, 금보 등등

이름 : 알밤(Albam), 작은애
성별 : 남
생일: 2018. 08.01
별명: 미친강아지
----------------------------------------------------------------------

[터보와 롤리의 인스타그램]
@turbothdoggydog
https://www.instagram.com/turbothedoggydog

[터보와 롤리의 이메일]
turbonrolly@gmail.com

[사용한 소스]
Youtube channel ""freeticon""
https://www.youtube.com/channel/UCR0gCihMuPcEafKOroPS1xg",인스타그램 미친강아지
아이들 방학 고민이세요? 낚시로 육아하세요.  ft.똥강아지,/watch?v=GE9bPO_1OEA,,3273,https://i.ytimg.com/vi/GE9bPO_1OEA/sddefault.jpg,똥개야,UCOjkqrP0k2Xv4pE7uufxPgA,2021-08-09,"#낚시 #유치원방학 #독박육아

똥개와 똥강아지의 기가 막히고 코가맥히는 콜라보레이션",콜라보레이션 유치원방학
밥 기다리는 강아지 시점도 나쁘지 않네,/watch?v=otiIVzy5upw,BTS|ARMY|방탄소년단|방탄|아미|주접,3179,https://i.ytimg.com/vi/otiIVzy5upw/sddefault.jpg,내가주접떨려고만든계정,UCMBmdEQVgiZZV5xQLPsoD7Q,2021-08-10,"#방탄소년단 #BTS #Shorts #JIMIN #PARKJIMIN #지민 #박지민 #방탄 #ARMY #아미

원본 영상:210810 브이라이브",박지민 방탄소년단
훔쳐보는 이상한 강아지.. 어떻하지?,/watch?v=H_LPUcmVni8,래브라도리트리버|아기강아지|심쿵|힐링|호미|사랑스럽다|이발소에사는호미|댕댕이|반려견|아기리트리버|강아지|새끼강아지|천사견|천재견|악마견|악동견|리트리버|인절미|천재견호야손주|labradorretriever|labrador_lovers|강아지유튜버|애니멀봐|강아지교육|강아지개인기|아기리트리버먹방|천재견호야|동물농장|animal farm (book|dog training|골든리트리버|pomeranian (dog breed)|Golden Retriever|강아지먹방|개신남|옆시선|민망한데귀엽다|쳐다보는강아지|대놓고본다,1675,https://i.ytimg.com/vi/H_LPUcmVni8/sddefault.jpg,이발소에사는호미,UCB77LaxhjfQFSHPSFXOh04g,2021-08-09,"안녕하세요 이발소에사는호미입니다.

저희는 래브라도리트리버 호미 와 아기강아지들과 아버지 저까지

이렇게 같이 이발소에서 12시간이상을 지내고 있어요

그안에서 일어나는 일상 /산책/ 먹방/ 으로 주컨텐츠로

업로드 하려고 합니다 많은 응원 부탁드려요 !!!

좋아요와 구독은 저에게 큰힘이 됩니다!!!!!

#shorts #대놓고보는강아지 #못된버릇강아지",쳐다보는강아지 이발소에사는호미입니다
강아지 격하게 이뻐해주기,/watch?v=dnUXHzyk2EA,사모예드|대형견|サモエド|子犬|小狗|萨摩耶|サモエド 韓国|サモエド かわいい|サモエド 散歩|samoyed puppy|samoyed dog|samoyed baby|사모예드 애교|대형견반응,4051,https://i.ytimg.com/vi/dnUXHzyk2EA/sddefault.jpg,사모예드 티코,UC3N1SAJOUFASOoCX9LZRETw,2021-08-09,#shorts,puppy 대형견반응
